id,name,total_marks
1,Cristabel,38
2,Adel,89
3,Junie,50
4,Parke,90
5,Marlyn,96
6,Millard,44
7,Clare,36
8,Fletch,35
9,Jakob,40
10,Charlena,39
11,Marjy,46
12,Dexter,96
13,Collette,37
14,Guillema,81
15,Yorgo,77
16,Ursola,77
17,Janaya,48
18,Greta,46
19,Ferrell,96
20,Otho,98
21,Peyton,83
22,Karie,40
23,Micki,99
24,Philbert,60
25,Davide,46
26,Othilie,84
27,Yves,99
28,Chandra,39
29,Halsy,95
30,Minette,73
31,Ki,96
32,Jinny,73
33,Ilysa,31
34,Tedie,51
35,Ermina,43
36,Uriah,39
37,Jasmine,48
38,Kennedy,31
39,Lorrin,91
40,Ragnar,60
41,Tore,44
42,Cinnamon,85
43,Homere,40
44,Pearla,47
45,Monte,32
46,Ailis,35
47,Dawna,80
48,Gregorio,100
49,Kristo,46
50,Collen,64
